System PWS ID,System Name,System Primary Source Water Type,Population,Sample Date,County,PFOS (ng/L),PFOA (ng/L),GenX = HFPO-DA (ng/L),PFBS (ng/L),PFNA (ng/L),PFHxS (ng/L),NC0157138,COLD SPRINGS POA,Groundwater,165,8/8/2023,MACON,0.906,ND,ND.1,ND.2,ND.3,ND.4,NC0368118,HILL TOP MHP,84,5/4/2023,ORANGE,1.98,2.55,8.24,11.9,NC0145171,OAK CREST RETIREMENT ESTATES,98,10/26/2023,HENDERSON,3.43,4.71,6.33,1.34,NC0392126,SUMMERFIELD MHP,110,5/11/2023,WAKE,0.257
NC0351176,CLEVELAND MHP,Groundwater,107.0,7/10/2023,JOHNSTON,ND,1.02,ND,0.709,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0136917,CLINE`S LEARNING CENTER,Groundwater,70.0,9/12/2023,GASTON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0201404,CLOVER GARDEN CHARTER SCHOOL,Groundwater,680.0,8/15/2023,ALAMANCE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0188135,CLUB COLONY S/D,Groundwater,38.0,9/12/2023,TRANSYLVANIA,ND,ND,0.178,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0465112,COLLEGE VIEW MHP,Groundwater,66.0,7/31/2023,NEW HANOVER,13,6.23,1.58,12.9,0.643,2.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0181132,COLONIAL MANOR REST HOME,Groundwater,27.0,11/3/2023,RUTHERFORD,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0149108,COMMODORE PENINSULA WTR SYSTEM,Groundwater,610.0,9/6/2023,IREDELL,ND,ND,ND,1.02,ND,1.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0433030,CONETOE COMMUNITY WATER SYSTEM,Groundwater,1090.0,7/6/2023,EDGECOMBE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0150181,CONTINENTAL CLIFFS,Groundwater,69.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392118,COOLEY`S MHP,Groundwater,109.0,6/1/2023,WAKE,4.87,9.27,ND,5.4,ND,3.97,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC1057005,COTTAGES AT LAKE OSSEROGA,Groundwater,93.0,8/3/2023,MACON,1.03,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC3095030,COTTAGES OF BOONE,Groundwater,890.0,10/19/2023,WATAUGA,ND,ND,ND,0.69,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0145148,COUNTRY ACRES MHP,Groundwater,30.0,9/26/2023,HENDERSON,ND,ND,ND,0.87,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0201105,COUNTRY CLUB MHP,Groundwater,127.0,8/15/2023,ALAMANCE,2.6,1.92,ND,2.19,ND,1.37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0319124,COUNTRY ESTATES MHP,Groundwater,60.0,8/7/2023,CHATHAM,2.03,ND,ND,2.04,ND,1.29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0285130,COUNTRY LIVING APTS,Groundwater,66.0,10/24/2023,STOKES,1.63,1.97,ND,0.752,ND,1.26,,,,,,,,,,,,,,,,,,,,,,,,
