"Sample date","Sweeney Finished","Sweeney Raw"
"06/17/2025",23.47,
"06/23/2025",,47.41
"06/24/2025",21.64,
"06/30/2025",,98.62
"07/01/2025",27.42,
"07/07/2025",,133.33
"07/08/2025",38.2,
"07/14/2025",,42.73
"07/15/2025",27.03,
"07/21/2025",,62.01
"07/22/2025",25.01,
"07/28/2025",,74.68
"07/29/2025",29.24,
"08/04/2025",,103.66
"08/05/2025",30.08,
"08/11/2025",,58.13
"08/12/2025",25.69,
"08/18/2025",,60.31
"08/19/2025",25.03,
"08/25/2025",,93.77
"08/26/2025",28.57,
"09/01/2025",,119.82
"09/02/2025",34.16,
"09/08/2025",,166.76
"09/09/2025",48.24,
"09/15/2025",,215.89
"09/16/2025",47.27,
"09/22/2025",,164.91
"09/23/2025",37.52,
"09/29/2025",,148.74
"09/30/2025",42.31,
"10/06/2025",,224.66
"10/07/2025",45.29,
"10/13/2025",,196.56
"10/14/2025",49.65,
"10/20/2025",,179.78
"10/21/2025",33.59,
"10/27/2025",38.89,168.36
"11/03/2025",,267.14
"11/04/2025",34.76,
"11/10/2025",,176.6
"11/11/2025",28.26,
"11/17/2025",,167.77
"11/18/2025",29.1,
"11/24/2025",,176.33
"11/25/2025",31.4,
"12/01/2025",,180.3
"12/02/2025",29.67,
"12/08/2025",,178.05
"12/09/2025",31.24,
"12/15/2025",,179.8
"12/16/2025",30.33,
"12/22/2025",,167.12
"12/23/2025",25.1,
"12/29/2025",,162.53
"12/30/2025",25.56,
"01/05/2026",,151.51
"01/06/2026",24.42,
"01/12/2026",,163.15
"01/13/2026",25.81,
"01/19/2026",,178.47
"01/20/2026",21.93,
"01/26/2026",,168.11
"01/27/2026",21.28,
"02/02/2026",,168.11
"02/03/2026",21.28,
"02/07/2026",22.9,
"02/09/2026",,164.63
"02/16/2026",,126.83
"02/17/2026",25.27,
