System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0276659,NORTHEASTERN RANDOLPH MID SCH,GW,629,6/27/2024,RANDOLP,ND,ND,ND,1.33,ND,ND,2024
NC0276659,NORTHEASTERN RANDOLPH MID SCH,GW,629,6/27/2024,RANDOLP,1.4,1.19,ND,0.98,ND,ND,2024
NC0285414,LAWSONVILLE ELEM SCHOOL,GW,128,3/19/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0285415,GERMANTON ELEM SCHOOL,GW,165,3/19/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0285420,NANCY REYNOLDS ELEM SCHOOL,GW,150,3/19/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0285421,NORTH STOKES HIGH SCHOOL,GW,150,3/19/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0285428,PINE HALL ELEM SCHOOL,GW,1,3/19/2024,STOKES,5.02,2.72,ND,0.696,ND,1.06,2024
NC0285429,SOUTH STOKES HIGH SCHOOL,GW,200,3/19/2024,STOKES,0.871,1.29,ND,3.95,ND,1.19,2024
NC0285430,SANDY RIDGE ELEM SCHOOL,GW,215,3/19/2024,STOKES,ND,ND,ND,ND,ND,1.4,2024
NC0285447,BROOK COVE STEMMERY-RJREYNOLDS,GW,40,4/30/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0285473,WIELAND COPPER PRODUCTS LLC,GW,226,4/30/2024,STOKES,3.34,ND,ND,3.86,ND,2.13,2024
NC0285473,WIELAND COPPER PRODUCTS LLC,GW,226,4/30/2024,STOKES,3.44,ND,ND,4.01,ND,2.05,2024
NC0285556,PINEY GROVE MIDDLE SCHOOL,GW,130,3/19/2024,STOKES,ND,ND,ND,ND,ND,ND,2024
NC0286418,COPELAND ELEMENTARY SCHOOL,GW,329,2/27/2024,SURRY,ND,ND,ND,ND,ND,ND,2024
NC0286473,MOUNTAIN PARK ELEM SCHOOL,GW,224,2/27/2024,SURRY,ND,0.89,ND,ND,ND,ND,2024
NC0286545,SHOALS ELEM SCHOOL,GW,296,2/27/2024,SURRY,ND,2.03,ND,0.971,ND,ND,2024
NC0286546,WESTFIELD ELEM SCHOOL,GW,245,2/27/2024,SURRY,ND,ND,ND,2.21,ND,ND,2024
NC0286552,CEDAR RIDGE ELEM SCHOOL,GW,410,2/27/2024,SURRY,ND,ND,ND,ND,ND,ND,2024
NC0299412,FORBUSH HIGH SCHOOL,GW,1447,4/11/2024,YADKIN,ND,ND,ND,ND,ND,ND,2024
NC0299472,FALL CREEK ELEM SCHOOL,GW,317,4/11/2024,YADKIN,ND,ND,ND,ND,ND,ND,2024
NC0319431,THREE POINTS CENTER,GW,75,4/8/2024,CHATHAM,ND,ND,ND,ND,ND,ND,2024
NC0326401,BEAVER DAM ELEM SCHOOL,GW,170,3/12/2024,CUMBERLA,ND,ND,ND,ND,ND,ND,2024
NC0326627,GRAYS CREEK ELEM SCHOOL,GW,460,3/12/2024,CUMBERLA,ND,ND,9.08,ND,ND,ND,2024
NC0326810,ALDERMAN ROAD ELEMENTARY,GW,770,3/12/2024,CUMBERLA,ND,ND,0.214,ND,ND,ND,2024
NC0326810,ALDERMAN ROAD ELEMENTARY,GW,770,3/12/2024,CUMBERLA,ND,ND,ND,ND,ND,ND,2024
