System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year,Source Water Type,Population,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L
LAURADALE S/D,ONSLOW,NC0467136,,,,8/7/2023,,ND,ND,ND,2023,Groundwater,2527.0,ND,ND,ND
LAUREL HILLS,MACON,NC1057025,,,,8/31/2023,,ND,ND,ND,2023,Groundwater,26.0,ND,ND,ND
LAUREL RIDGE,MACON,NC0157137,,,,8/31/2023,,ND,ND,ND,2023,Groundwater,115.0,1.57,ND,ND
LAURELWOOD DEVELOPMENT,WATAUGA,NC0195137,,,,7/11/2023,,ND,0.924,ND,2023,Groundwater,71.0,0.886,ND,ND
LAWS MHP,GASTON,NC0136396,,,,10/24/2023,,ND,ND,ND,2023,Groundwater,67.0,ND,ND,ND
LEA ACRES WATER CO INC,PENDER,NC0471113,,,,8/8/2023,,ND,ND,ND,2023,Groundwater,120.0,ND,ND,ND
LEONE LANDING,WAKE,NC4092127,,,,5/16/2023,,ND,ND,ND,2023,Groundwater,69.0,ND,ND,ND
LEVEL CROSS CHRISTIAN SCHOOL,RANDOLPH,NC0276611,,,,9/26/2023,,ND,ND,ND,2023,Groundwater,92.0,ND,ND,ND
LIBERTY PREPARATORY CHRISTIAN ACADEMY,IREDELL,NC2049041,,,,7/25/2023,,ND,0.954,0.992,2023,Groundwater,510.0,ND,ND,ND
LIGHTHOUSE WAY MHP & APTS,CARTERET,NC0416142,,,,8/1/2023,,0.211,5.35,5.53,2023,Groundwater,79.0,1.97,ND,1.21
LINDEN VILLAS WTR SYSTEM,MOORE,NC0363129,,,,8/15/2023,,ND,2.17,1.08,2023,Groundwater,44.0,0.608,ND,1.06
LINEBERRY MHP,ALAMANCE,NC0201188,,,,8/29/2023,,ND,2.11,ND,2023,Groundwater,74.0,2.46,ND,0.757
LINVILLE FALLS CLUB,MCDOWELL,NC1056001,,,,10/5/2023,,ND,ND,ND,2023,Groundwater,125.0,ND,ND,ND
LINVILLE LAND HARBOR,AVERY,NC0106104,,,,10/19/2023,,ND,1.71,0.787,2023,Groundwater,2280.0,1.04,ND,ND
LITTLE RIVER MHP,WAKE,NC0392153,,,,7/24/2023,,ND,12.1,18.4,2023,Groundwater,79.0,10.2,ND,3.13
LITTLE SWITZERLAND COMM ASSOC,MCDOWELL,NC0156105,,,,9/6/2023,,ND,ND,0.821,2023,Groundwater,300.0,ND,ND,ND
LONG`S MH VILLAGE,WAKE,NC0392154,,,,9/7/2023,,ND,ND,ND,2023,Groundwater,90.0,ND,ND,ND
MAGNOLIA MHP,GASTON,NC0136265,,,,8/22/2023,,ND,2.05,ND,2023,Groundwater,94.0,2.38,ND,2.08
MAGNOLIA MHP,HENDERSON,NC0145172,,,,8/3/2023,,ND,4.31,3.16,2023,Groundwater,138.0,2.41,ND,2.3
MANN`S MHP,CARTERET,NC0416167,,,,8/1/2023,,ND,3.43,5.84,2023,Groundwater,40.0,ND,ND,2.25
